Ailment,Description from Wikipedia,,,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3673028/,,,,How/Why Cannabis works
Bladder Cancer/Dysfunction,https://en.wikipedia.org/wiki/Bladder_cancer,,,,,,,http://www.healthnutnews.com/national-cancer-institute-finally-admits-thc-causes-45-remission-in-bladder-breast-and-liver-cancer/,"The National Cancer Institute recently released its report on medical marijuana. The overview of their conclusion is, THC (the active ingredient in marijuana) caused a 45 percent reduction in bladder cancer, remission in breast and liver cancer and more. - Among their findings, they have found that cannabis is not associated with adverse pulmonary function and does not cause lung cancer or any aerodigestive tract cancers. Cannabis does not cause other types of cancer either. - See more at: http://www.healthnutnews.com/national-cancer-institute-finally-admits-thc-causes-45-remission-in-bladder-breast-and-liver-cancer/#sthash.lJjXebHo.dpuf"
Brain Cancer,https://en.wikipedia.org/wiki/Brain_tumor,,,,,,,http://mct.aacrjournals.org/content/early/2014/11/12/1535-7163.MCT-14-0402.abstract,"The researchers found that THC, the main psychoactive ingredient in weed, and cannabidiol, an extract, caused ""dramatic reductions"" in the growth of glioma tumors in mice. Glioma accounts for 80 percent of malignant brain tumors in humans. ""We've shown that cannabinoids could play a role in treating one of the most aggressive cancers in adults,"" Dr. Wai Liu, lead author of the study, wrote in an op-ed for the Huffington Post last year. Previous studies have shown that THC may have anti-tumor benefits, but the wrong dose can potentially increase the size of tumors."
Breast Cancer,https://en.wikipedia.org/wiki/Breast_cancer,,,,,,,http://www.attn.com/stories/2189/medical-marijuana-treating-breast-cancer,"According to research from the California Pacific Medical Research Center published last year, CBD, the non-psychoactive compound found in cannabis, can help inhibit metastasis in breast cancer cells. Metastasis is a tumor's ability to spread throughout the body. ""We have found [CBD] inhibits key genes involved in tumor progression and metastasis,"" Dr. Sean McAllister, a lead research in the study, told ATTN: McAllister claims CBD appears to inhibit the Id-1 and Akt genes, which have been known to play a role in the progress of tumor growth. McAllister and his fellow researchers have studied this concept for years, with their first published work appearing in 2007. McAllister explained to media outlets at the time that treatments such as chemotherapy can be effective for some patients, but they are not always effective for everyone. Beyond that, intense chemotherapy treatments can come with crippling side effects like pain and vomiting."
Cerebral Palsy,https://en.wikipedia.org/wiki/Cerebral_palsy,,,,,,,https://www.marijuanadoctors.com/content/ailments/view/100?ailment=cerebral-palsy,"All types of cerebral palsy can be characterzied best by abnormal muscle tone, reflexes, motor development and coordination. In certain cases, there can be joint and bone deformities and contractures. The classical symptoms associated with cerebral palsy are spasticities, spasms, other involuntary movements, unsteady gait, problems with balance and soft tissue finding consisting largely of decreased muscle mass. Medical marijuana is a great treatment option for those who suffer from cerebral palsy, mainly because of it's direct ability to alleviate any symptoms of spasticity that one may experience. Medical marijauna serves as a muscle relaxer and can also provide exceptional anti-inflammatory properties that you cannot find anywhere else. This type of alternative treatment option also alleviates chronic pain associated with this condition and any form of stiffness."
Chronic Pain,https://en.wikipedia.org/wiki/Chronic_pain,,,,,,,http://www.medicaljane.com/2014/06/13/chronic-pain-and-the-theraputic-benefits-of-medical-cannabis/,"The use of cannabis to treat chronic pain has had a long history, with written references of its use dating back to around 2700 B.C.E. The first records in the nineteenth century were recorded by the Irish doctor William B. O’Shaughnessy, who described the use of cannabis in the treatment of cholera, rabies, tetanus, menstrual cramps and delirium tremens. “Medical cannabis is a very effective therapy for chronic pain patients because it affects people’s perception of pain, has the ability to mitigate the inflammatory process, and has been shown to affect voltage-gated sodium channels in nerves in a way similar to lidocaine,” reports Dr. Mark Rabe, Medical Director of Centric Wellness, am integrative holistic healthcare practice in San Diego CA and Chairman of the Scientific Advisory Board at Medical Marijuana Sciences, Inc."
Chronic Stress,https://en.wikipedia.org/wiki/Chronic_stress,,,,,,,http://www.attn.com/stories/3233/what-cannabis-does-to-anxiety,"""Chronic stress or acute, severe emotional trauma can cause a reduction in both the production of endocannabinoids and the responsiveness of the receptors,"" the researchers wrote in a press release about the study. Because components of marijuana function as endocannabinoids, cannabis can, in fact, provide relief by contributing to the system—centrally located in the amygdala—that regulates anxiety, they continued."
Colon Cancer,https://en.wikipedia.org/wiki/Colorectal_cancer,,,,,,,http://www.leafscience.com/2014/01/03/cbd-rich-cannabis-may-fight-colon-cancer-study-shows/,"Cannabidiol (CBD), a compound in cannabis, shows promise as a treatment for a variety of cancers. Now, for the first time, researchers have found that cannabis rich in CBD can slow the progress of colon cancer in live animal models.  Using a botanical extract made from high-CBD cannabis, researchers from Italy and the UK were able to reduce pre-cancerous lesions and tumor growth in mice with colon cancer. The results, released last month in the journal Phytomedicine, also suggest that cannabis extract can selectively target colon cancer cells, while leaving healthy cells unharmed. Both CB1 and CB2 pathways seem to facilitate its effects."
COPD,https://en.wikipedia.org/wiki/Chronic_obstructive_pulmonary_disease,,,,,,,http://naturalsociety.com/cannabis-oil-proving-successful-another-incurable-disease-copd/#ixzz3uQ51WUPB,"The treatment situation is so bleak with mainstream medicine that those desperate to breathe normally and experience less coughing with mucus have turned to medical marijuana for at least some relief without negative side effects. Smoking marijuana joints is shunned for obvious reasons, but many claim that vaping, or using a vaporizer to inhale cannabis, is useful for COPD without exacerbating the lungs’ inflammatory condition."
Crohn's Disease,https://en.wikipedia.org/wiki/Crohn%27s_disease,,,,,,,https://www.hellomd.com/health-wellness/cannabis-shows-promise-as-a-treatment-for-crohn-s-disease-and-colitis,"As is true with many disorders, cannabis has been used for centuries to treat the symptoms of Crohn's Disease and Colitis. The reason that cannabis is an effective treatment for these disorders is that cannabis can significantly limit intestinal inflammation. According to a statement issued by The Crohn's & Colitis Foundation of America in 2012, compounds found in the marijuana plant closely mimicendocannabinoids (molecules that occur naturally in the body) and have been shown to play an important part in decreasing gastrointestinal inflammation."
Depression,https://en.wikipedia.org/wiki/Major_depressive_disorder,,,,,,,http://www.huffingtonpost.com/2015/02/06/marijauna-depression_n_6622126.html,"In studies, the researchers found that chronic stress reduced the production of endocannabinoids, which affect our cognition, emotion and behavior, and have been linked to reduced feelings of pain and anxiety, increases in appetite and overall feelings of well-being. The body naturally produces these compounds, which are similar to the chemicals in cannabis. Reduction of endocannabinoid production may be one reason that chronic stress is a major risk factor in the development of depression. Then, the research team administered marijuana cannabinoids to the rats, finding it to be an effective way to restore endocannabinoid levels in their brains -- possibly, thereby, alleviating some symptoms of depression."
Diabetes,https://en.wikipedia.org/wiki/Diabetes_mellitus,,,,,,,http://www.letfreedomgrow.com/cmu/diabetes_5.htm,"Cannabis is also neuroprotective. It is believed that much of neuropathy comes from the inflammation of nerves caused by glycoproteins in the blood that deposit in peripheral tissues and trigger an immune response. Cannabis helps protect the nerve covering (myelin sheath) from inflammatory attack. Cannabis also lessens the pain of neuropathy by activating receptors in the body and brain. Some components of cannabis (perhaps cannibidiol) act as anti-spasmodic agents similar to the far more toxic anti-convulsants like Neurontin. This action of cannabis helps relieve diabetic muscle cramps and GI upset. Two other major actions of cannabis can benefit the diabetic. The first is helping to keep blood vessels open and improving circulation. Cannabis is a vasodilator and works well to improve blood flow. The second action is how cannabis can reduce blood pressure over time. While cannabis is not generally thought to be an anti-hypertensive and is no replacement for ACE inhibitors, it does contribute to lower blood pressure which is vital in diabetes management. Finally, cannabis used in food products not only provides long lasting blood levels of key cannabinoids but, in addition, cannabis butter and oil substitute triple bonded fatty acids for the saturated fats normally contained in these essential cooking products. This substitution will benefit cardiac and arterial health in general."
Disc Degeneration,https://en.wikipedia.org/wiki/Degenerative_disc_disease,,,,,,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4269422/,"Disc degeneration is a multifactorial process that involves hypoxia, inflammation, neoinnervation, accelerated catabolism, and reduction in water and glycosaminoglycan content. Cannabidiol is the main non-psychotropic component of the Cannabis sativa with protective and anti-inflammatory properties.  In summary our study revealed anti-degenerative effects of intradiscal microinjection of CBD 120 nmol. CBD represents one of the most promising candidates present in the Cannabis sativa plant for clinical use due to its remarkable lack of cognitive or psychotomimetic actions. It has been already approved in several countries for the treatment of neuropathic pain [63]. Although further research is necessary to clarify the mechanisms involved in CBD effects, the present results suggest the possibility of its use for disc degeneration treatment."
Epilepsy & Seizures,https://en.wikipedia.org/wiki/Epilepsy,,,,,,,http://www.webmd.com/epilepsy/news/20150413/liquid-medical-marijuana-shows-promise-against-severe-epilepsy,"Among the 137 people who completed the study, the number of seizures fell by an average of 54 percent, according to a team led by Dr. Orrin Devinsky, of New York University Langone Comprehensive Epilepsy Center in New York City."
Fibromyalgia,https://en.wikipedia.org/wiki/Fibromyalgia,,,,,,,https://www.whaxy.com/learn/does-medica-marijuana-treat-fibromyalgia,"Fibromyalgia, a chronic pain syndrome that is difficult to treat and has no cure, is no exception. Affecting an estimated 5 to 12 million Americans, the condition is relatively untreatable with conventional pharmaceutical medications. In fact, only 35-40 percent of sufferers gain any relief whatsoever from mainstream drugs. Cannabis treats not only the pain associated with fibromyalgia, but other symptoms of the condition as well, including insomnia, fatigue, restless legs syndrome, depression, and anxiety. While the root cause of fibromyalgia remains a mystery, it is understood that it involves a disturbance in how the central nervous system, including the brain, spinal cord, and nerves, sends and receives messages. It is estimated that the disease afflicts four to seven times as many women as men."
Glaucoma,https://en.wikipedia.org/wiki/Glaucoma,,,,,,,http://medicalmarijuanainc.com/glaucome-medical-marijuana-research/#sthash.mvP0mxk2.dpuf,"Over multiple decades, scientific research has proven that cannabinoids are effective at decreasing intraocular pressure (Nadolska & Gos, 2008) (Pinar-Sueiro, Rodriguez-Puertas & Vecino, 2011). In addition, the compounds found in cannabis feature neuroprotection and vasodilation properties, which further assist in the conservative treatment of glaucoma (Nadolska & Gos, 2008) (Nucci, et al., 2008). The cannabinoids found in cannabis, including tetrahydrocannabinol (THC), activate endocannabinoid receptors CB1 and CB2 (Pinar-Sueiro, Rodriguez-Puertas & Vecino, 2011). The endocannabinoid receptors located in the structures of the eyes are responsible for the formation and outflow of aqueous humor (Nadolska & Gos, 2008) (Nucci, et al., 2008). Smoking cannabis has demonstrated through numerous studies that it can be effective at lowering intraocular pressure. After inhaling THC, participants with open-angle glaucoma in one study had their blood and intra-ocular pressures decrease for three to four hours (Crawford & Merritt, 1979). Another study found that smoking marijuana lowered blood pressure, which led to a decrease in intra-ocular pressure within 60 to 90 minutes of inhalation (Merritt, et al., 1980). Yet another study found that glaucoma patients experienced a lowering of orthostatic blood pressure, but in just five minutes after smoking marijuana (Merritt, Cook & Davis, 1982)."
Heart Disease,https://en.wikipedia.org/wiki/Cardiovascular_disease,,,,,,,https://www.medicalcannabisclinic.com.au/medicinal-cannabis/cardiovascular-disease-treatment/,"Felsenstein Medical Research Center in Israel recently published information from a study conducted offering new evidence about the potential cardiovascular medical value of cannabis. Published by the Journal of Biochemical Pharmacology, the study was engaged in determining whether small amounts of THC may offer any protection to the heart. The experiment was done using mice as the subjects. A single ultra low dose of THC before ischemia [Insufficient Blood flow] is a safe and effective treatment that reduces myocardial ischemic [Heart Attack] damage.”"
HIV / AIDS,https://en.wikipedia.org/wiki/HIV,,,,,,,http://www.cfenet.ubc.ca/news/forecast/medical-marijuana-daily-cannabis-use-may-lower-hiv-viral-loads,"The clinical study follows previous research led by Dr. Milloy, which identified an association between marijuana use and lower viral loads (the amount of virus in a person’s blood) among patients living with HIV. The BC-CfE study High-intensity cannabis use associated with lower plasma human immunodeficiency virus-1 RNA viral load among recently infected people who use injection drugs was published in Drug and Alcohol Review in March 2015 and included interviews from 88 individuals in the year following acquisition of the virus participating in the National Institutes of Health-funded study AIDS Care Cohort to evaluate Exposure to Survival Services (ACCESS)."
Huntington’s Disease,https://en.wikipedia.org/wiki/Huntington%27s_disease,,,,,,,https://www.marijuanadoctors.com/content/ailments/view/143?ailment=huntington-s-disease,"The tension reducing effects of medical marijuana are well known. Numerous studies have been done that show the possible beneficial use of medical marijuana for patients who suffer from tension or anxiety. Cannabidiol, or CMD, is a chemical component found in marijuana and widely believed to be responsible for some of the beneficial effects of marijuana. A recent study, looked at the benefits of medical marijuana on patients suffering from Huntington’s Disease and found that the participants showed a modest improve of symptoms which increased with the amount of the drug they received. Even more promising results were obtained in an animal study. In that study, a mutant strain of hamsters that exhibited the symptoms of dystonia, a sub-group of disorders that share similar characteristics to Huntington’s Disease, were given a synthetic cannabinoid that activates the same cellular receptors as THC. The hamsters showed symptoms of dystonia that included rapid jerky movements or slow, repetitive movements, similar to Huntington’s Disease sufferers. In that study, the hamsters showed a marked reduction of symptoms when under the influence of the synthetic cannabinoid, indicating that medical marijuana may be beneficial to those with Huntington’s Disease."
Hypertension,https://en.wikipedia.org/wiki/Hypertension,,,,,,,http://tetrahealthcenters.com/cannabis-and-hypertension/,"While only initial studies have been completed, cannabis appears a very strong contender as a viable treatment for hypertension, as scientists were able to determine that the use of cannabis opens the blood vessels in animals with high blood pressure. Studies on human subjects have also been promising, showing that upon smoking or vaporizing cannabis, the patients’ heart rate will initially accelerate, but then will begin to slow after about ten minutes. Studies on the effects of hypertension have revealed that the most common causes of hypertension are obesity, insomnia, and anxiety. These are each some of the most common ailments for which marijuana has been prescribed as a viable medication. Through treatment of these symptoms cannabis can aid in reducing or even eliminating hypertension completely."
IBS (Irritable Bowel Syndrome),https://en.wikipedia.org/wiki/Irritable_bowel_syndrome,,,,,,,http://www.crescolabs.com/conditions/irritable-bowel-syndrome/,"Although the exact cause of IBS remains unknown, it is known that, like many physiological processes, the gastrointestinal tract is controlled by the body’s endocannabinoid system. Experts report that the colon muscle of an IBS sufferer is overly sensitive, causing it to spasm after even the most mild stimulation because of a disruption in the communication pathway between the brain and the gastrointestinal tract. Cannabis provides significant medical efficacy in the treatment of IBS because it is made up of hundreds of organic chemical compounds, known as cannabinoids, which are able to bind to the same receptors in the brain as the body’s own gastrointestinal tract regulating endocannabinoids. Medical cannabis is able to fill in the missing pieces of the homeostasis puzzle when the body fails to regulate its own endocannabinoid production.  The most abundant psychoactive cannabinoid known for producing the feeling of being high, THC, is also known for being an effective reliever of pain and nausea, which are two of the most common symptoms of irritable bowel syndrome. CBD, the most abundant non-psychoactive cannabinoid works is a powerful anti-spasmodic that also produces calming effects in patients.  Experts report that, in the treatment of IBS and many other conditions, the medical efficacy of each individual cannabinoid found in medical cannabis increases dramatically when they work together in a process known as the entourage effect. For example, CBC works synergistically with THC to increase the amount of the gastrointestinal regulating endocannabinoid, anandamide, that is in the body at any given time. More anandamide in the system equates to reduced pain because it prevents excessive spasms in the gut wall."
Inflamation,https://en.wikipedia.org/wiki/Inflammation,,,,,,,http://medicalmarijuanainc.com/inflammation-2-medical-marijuana-research/#sthash.eAecUG0D.dpuf,"Medical marijuana has been found to be effective at both reducing chronic inflammation and at curtailing the pain associated with inflammatory-related diseases, thanks to its two major cannabinoids, tetrahydrocannabidiol (THC) and cannabidiol (CBD). Both THC and CBD have demonstrated success at reducing inflammation related to a variety of conditions. Studies have shown that THC is able to reduce the development of atherosclerosis, the chronic inflammatory disease and a major risk factor of heart attacks and strokes, and at reducing airway inflammation related to the flu virus (Fimiani, et al., 1999) (Buchweitz, et al., 2008). CBD has been found to have the capability of reducing joint inflammation and has demonstrated effective at inhibiting the disease’s progression (Sumariwalla, et al., 2004) (Nagarkatti, et al., 2009). CBD has also shown to effectively reduced edema (Costa, et al., 2004). In terms of Crohn’s disease, cannabis is able to lower the digestive track inflammation and has even demonstrated it can improve the chances of reaching complete remission (Naftali, Mechulam, Lev & Konikoff, 2014) (Nagarkatti, et al., 2009). Studies also suggest that the cannabinoids in marijuana may be beneficial in certain types of cancers that are triggered by chronic inflammation (Nagarkatti, et al., 2009)."
Leukemia,https://en.wikipedia.org/wiki/Leukemia,,,,,,,http://medicalmarijuanainc.com/leukemia-medical-marijuana-research/#sthash.QLlHRvRr.dpuf,"Evidence suggests that cannabis shows potential as a viable treatment option for leukemia. One of the major cannabinoids found in cannabis, tetrahydrocannabinol (THC), has been shown to induce apoptosis, or death, of leukemia cells (Powles, et al., 2005) (Murison, et al., 1987) (Scott, Shah, Dalgleish & Liu, 2013). Another major cannabinoid, cannabidiol (CBD), has also been shown to significantly decrease tumor burden and increase the death of cancerous leukemia cells (Gallily, et al., 2003) (McKallip, et al., 2006) (Scott, Shah, Dalgleish & Liu, 2013). Evidence has shown that a greater dose of cannabis is associated with a greater apoptosis response (Gallily, et al., 2003). One study found that combining THC treatment with additional established cytotoxic agents could further enhance leukemia cancer cell death (Liu, et al., 2008). These findings have caused researchers to conclude that cannabis “may be a novel and highly selective treatment for leukemia” (McKallip, et al., 2006). "
